,Name_submitted,Accepted_name,Habit,NativeStatus,n_nurseries,StatesSold,NativeRange,StatesRegulated,P_conventional,P_native,Rank
45,Anemone virginiana,Anemone virginiana,Forb/herb,EFNative,37,"MA, PA, MD, VA, NJ, CT, DE, VT, WV, ME, RI, NH","CO, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.03515625,0.337349398,45
46,Geranium maculatum,Geranium maculatum,Forb/herb,EFNative,82,"MA, PA, NY, MD, NH, RI, NJ, VA, OH, CT, ME, WV, DE, VT","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.16796875,0.469879518,46
47,Iris versicolor,Iris versicolor,Forb/herb,EFNative,111,"ME, MD, OH, NY, NH, PA, RI, MA, CT, NJ, VA, VT, DE","MN, WI, CT, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, MD, VA",NA,0.25390625,0.554216867,47
48,Clematis virginiana,Clematis virginiana,Vine,EFNative,42,"MD, NH, PA, MA, RI, VA, CT, ME, NY, NJ, VT, OH","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.05078125,0.34939759,48
49,Viola sororia,Viola sororia,Forb/herb,EFNative,34,"MA, NH, PA, MD, NJ, VA, CT, ME, WV, VT","CO, MT, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.02734375,0.325301205,49
50,Pycnanthemum incanum,Pycnanthemum incanum,Forb/herb,EFNative,30,"PA, RI, MD, VA, NJ, MA, OH","IL, CT, IN, MA, NJ, NY, OH, PA, VT, WV, AL, FL, KY, MD, NC, SC, TN, VA",NA,0.015625,0.313253012,50
51,Schizachyrium scoparium,Schizachyrium scoparium,Grass,EFNative,117,"DE, OH, MA, NY, MD, NJ, PA, VA, CT, ME, RI, VT, NH, WV, KY","CO, ID, MT, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, CA, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.2734375,0.56626506,51
52,Cornus racemosa,Cornus racemosa,Shrub,EFNative,68,"MA, OH, MD, CT, NJ, PA, VA, ME, DE, RI, VT, NY, NH","IL, IA, MN, MO, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, KY, MD, NC, VA",NA,0.12890625,0.421686747,52
53,Veronicastrum virginicum,Veronicastrum virginicum,Forb/herb,EFNative,81,"MA, PA, NY, MD, NH, RI, NJ, VA, CT, ME, VT, DE, OH, WV","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NJ, NY, OH, PA, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.16796875,0.457831325,53
54,Diospyros virginiana,Diospyros virginiana,Tree,EFNative,77,"OH, MD, PA, MA, RI, CT, NJ, VA, ME, DE, WV, NY, VT","IL, IA, KS, MO, OK, CT, IN, NJ, NY, OH, PA, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.15625,0.445783133,54
55,Viburnum prunifolium,Viburnum prunifolium,Shrub,EFNative,59,"OH, MD, KY, NJ, PA, VA, CT, DE, VT, ME, NH, RI","IL, IA, KS, MO, OK, WI, CT, IN, MI, NJ, NY, OH, PA, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.10546875,0.385542169,55
56,Coreopsis lanceolata,Coreopsis lanceolata,Forb/herb,EFNative,39,"MA, PA, MD, NH, NJ, CT, VA, NY, VT, ME, OH","IL, KS, MN, MO, OK, WI, IN, MI, NJ, NY, OH, PA, VT, WV, NM, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.046875,0.325301205,56
57,Helenium autumnale,Helenium autumnale,Forb/herb,EFNative,68,"MA, OH, PA, MD, NH, RI, NJ, VA, CT, ME, DE, VT","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, WI, IN, MA, MI, NJ, NY, OH, PA, WV, AZ, CA, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.1328125,0.409638554,57
58,Spiraea tomentosa,Spiraea tomentosa,Shrub,EFNative,48,"MA, MD, NH, NJ, RI, PA, CT, DE, VA, VT, OH, ME, NY","IL, KS, MN, MO, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.07421875,0.34939759,58
59,Salvia lyrata,Salvia lyrata,Forb/herb,EFNative,40,"MA, PA, MD, RI, VA, CT, DE, NJ, ME, OH","IL, KS, MO, CT, NJ, NY, TX, AL, FL, KY, MD, SC, TN",NA,0.05078125,0.325301205,59
60,Rosa virginiana,Rosa virginiana,Shrub,EFNative,45,"MA, MD, PA, NH, RI, NJ, VA, CT, ME, DE, VT, OH, NY","MO, CT, ME, MA, MI, NH, NJ, NY, PA, RI, VT, DE, KY, MD, TN, VA",NA,0.06640625,0.337349398,60
61,Elymus hystrix,Elymus hystrix,Grass,EFNative,29,"PA, MD, VA, NJ","IL, IA, KS, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, KY, MD, NC, TN",NA,0.01953125,0.289156627,61
62,Eutrochium purpureum,Eutrochium purpureum,Forb/herb,EFNative,66,"MA, PA, OH, NH, RI, MD, NJ, VA, ME, DE, VT, NY","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.12890625,0.397590361,62
63,Doellingeria umbellata,Doellingeria umbellata,Forb/herb,EFNative,62,"ME, MA, PA, MD, RI, OH, NJ, VA, CT, DE, VT, NH, WV, NY","IL, IA, MN, ND, NE, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, DE, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.1171875,0.385542169,63
64,Heliopsis helianthoides,Heliopsis helianthoides,Forb/herb,EFNative,87,"MA, OH, NY, MD, PA, RI, NJ, VA, CT, ME, DE, NH, VT","CO, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, NM, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.19140625,0.457831325,64
65,Baptisia tinctoria,Baptisia tinctoria,Forb/herb,EFNative,38,"MA, VT, PA, MD, NH, RI, NJ, VA, CT, DE, ME","IL, MN, WI, IN, ME, MA, MI, NY, OH, PA, VT, WV, GA, KY, LA, MD, NC, TN, VA",NA,0.046875,0.313253012,65
66,Viburnum lentago,Viburnum lentago,Shrub,EFNative,63,"MA, OH, MD, NJ, RI, PA, VT, VA, ME, CT, DE, NH","MT, WY, IL, IA, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, GA, MD, VA",NA,0.12109375,0.385542169,66
67,Eryngium yuccifolium,Eryngium yuccifolium,Forb/herb,EFNative,59,"MA, PA, MD, RI, OH, NJ, VA, CT, VT, DE, WV, ME, NH","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, MI, NJ, OH, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.109375,0.373493976,67
68,Platanus occidentalis,Platanus occidentalis,Tree,EFNative,76,"OH, MD, NY, RI, KY, PA, VA, CT, NJ, VT, DE, MA, ME","IL, IA, KS, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.16015625,0.421686747,68
69,Sorghastrum nutans,Sorghastrum nutans,Grass,EFNative,60,"MA, PA, MD, NH, RI, NJ, VA, CT, NY, DE, OH, ME, VT","CO, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.11328125,0.373493976,69
70,Asclepias verticillata,Asclepias verticillata,Forb/herb,EFNative,44,"MA, PA, NH, RI, MD, OH, NJ, VA, CT, DE, VT, WV","MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, MA, MI, NJ, NY, OH, PA, RI, VT, WV, AZ, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.06640625,0.325301205,70
71,Carex vulpinoidea,Carex vulpinoidea,Grass,EFNative,40,"MA, PA, NY, MD, VA, VT, DE, ME, NJ, RI, OH","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0546875,0.313253012,71
72,Solidago odora,Solidago odora,Forb/herb,EFNative,40,"MA, DE, MD, NH, RI, PA, VA, ME, NJ, NY, CT","MO, OK, CT, MA, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0546875,0.313253012,72
73,Sambucus canadensis,Sambucus canadensis,Shrub,EFNative,85,"MA, DE, MD, NY, NH, NJ, RI, PA, VA, ME, OH, VT, WV, CT","MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.1875,0.445783133,73
