"","Name_submitted","Accepted_name","State","Raw.Scientific.Name","Reg.Level","Accepted.Symbol","Native.Status"
"1389","Solanum elaeagnifolium","Solanum elaeagnifolium","CA","Solanum elaeagnifolium","Noxious Weed","SOEL","L48(N)HI(I)PR(N)"
"1390","Solanum elaeagnifolium","Solanum elaeagnifolium","GA","Solanum elaeagnifolium","Restricted Noxious Weed Seed","SOEL","L48(N)HI(I)PR(N)"
"1391","Solanum elaeagnifolium","Solanum elaeagnifolium","HI","Solanum elaeagnifolium","Noxious Weeds","SOEL","L48(N)HI(I)PR(N)"
"1392","Solanum elaeagnifolium","Solanum elaeagnifolium","MI","Solanum eleagnifolium","Restricted Noxious Weed Seed","SOEL","L48(N)HI(I)PR(N)"
"1393","Solanum elaeagnifolium","Solanum elaeagnifolium","NV","Solanum elaeagnifolium","Category B","SOEL","L48(N)HI(I)PR(N)"
"1394","Solanum elaeagnifolium","Solanum elaeagnifolium","OR","Solanum elaeagnifolium","""A"" Designated Weed","SOEL","L48(N)HI(I)PR(N)"
"1395","Solanum elaeagnifolium","Solanum elaeagnifolium","WA","Solanum elaeagnifolium","Class A","SOEL","L48(N)HI(I)PR(N)"
"1403","Spartina alterniflora","Sporobolus alterniflorus","CA","Spartina alterniflora","Noxious Weed","SPAL","L48(N)CAN(N)"
"1404","Spartina alterniflora","Sporobolus alterniflorus","OR","Spartina alterniflora","""A"" Designated Weed","SPAL","L48(N)CAN(N)"
"1405","Spartina alterniflora","Sporobolus alterniflorus","WA","Spartina alterniflora","Class A","SPAL","L48(N)CAN(N)"
"1412","Spartina patens","Sporobolus pumilus","CA","Spartina patens","Noxious Weed","SPPA","L48(N)PR(N)VI(N)CAN(N)"
"1413","Spartina patens","Sporobolus pumilus","OR","Spartina patens","""A"" Designated Weed","SPPA","L48(N)PR(N)VI(N)CAN(N)"
"1414","Spartina patens","Sporobolus pumilus","WA","Spartina patens","Class A","SPPA","L48(N)PR(N)VI(N)CAN(N)"
"1440","Talinum paniculatum","Talinum paniculatum","CA","Talinum paniculatum","C","TAPA2","L48(N)HI(I)PR(N)VI(N)"
"1656","Amorpha fruticosa","Amorpha fruticosa","CT","Amorpha fruticosa","Noxious Weeds","AMFR","L48(N)CAN(N)"
"1657","Amorpha fruticosa","Amorpha fruticosa","ME","Amorpha fruticose","Prohibited","AMFR","L48(N)CAN(N)"
"1658","Amorpha fruticosa","Amorpha fruticosa","OR","Amorpha fruticosa","""B"" Designated Weed","AMFR","L48(N)CAN(N)"
"1659","Amorpha fruticosa","Amorpha fruticosa","WA","Amorpha fruticosa","Class B","AMFR","L48(N)CAN(N)"
"1727","Froelichia gracilis","Froelichia gracilis","CT","Froelichia gracilis","Noxious Weeds","FRGR3","L48(N)CAN(I)"
"1831","Myriophyllum heterophyllum","Myriophyllum heterophyllum","CT","Myriophyllum heterophyllum","Noxious Weeds","MYHE2","L48(N)CAN(N)"
"1832","Myriophyllum heterophyllum","Myriophyllum heterophyllum","ID","Myriophyllum heterophyllum","EARLY DETECTION/RAPID RESPONSE","MYHE2","L48(N)CAN(N)"
"1833","Myriophyllum heterophyllum","Myriophyllum heterophyllum","MA","Myriophyllum heterophyllum","Noxious Weed","MYHE2","L48(N)CAN(N)"
"1834","Myriophyllum heterophyllum","Myriophyllum heterophyllum","ME","Myriophyllum heterophyllum","Aquatic noxious weed","MYHE2","L48(N)CAN(N)"
"1835","Myriophyllum heterophyllum","Myriophyllum heterophyllum","NH","M. heterophyllum","Noxious Weed","MYHE2","L48(N)CAN(N)"
"1836","Myriophyllum heterophyllum","Myriophyllum heterophyllum","NY","Myriophyllum heterophyllum","Prohibited Plants","MYHE2","L48(N)CAN(N)"
"1837","Myriophyllum heterophyllum","Myriophyllum heterophyllum","VT","Myriophyllum heterophyllum","Class A Noxious Weed","MYHE2","L48(N)CAN(N)"
"1838","Myriophyllum heterophyllum","Myriophyllum heterophyllum","WA","Myriophyllum heterophyllum","Class A","MYHE2","L48(N)CAN(N)"
"1839","Nelumbo lutea","Nelumbo lutea","CT","Nelumbo lutea","Noxious Weeds","NELU","L48(N)CAN(N)"
"1882","Silphium perfoliatum","Silphium perfoliatum","CT","Silphium perfoliatum","Noxious Weeds","SIPE2","L48(N)CAN(N)"
"1883","Silphium perfoliatum","Silphium perfoliatum","ME","Silphium perfoliatum","Prohibited","SIPE2","L48(N)CAN(N)"
"1884","Silphium perfoliatum","Silphium perfoliatum","NY","Silphium perfoliatum","Prohibited Plants","SIPE2","L48(N)CAN(N)"
"1890","Amaranthus palmeri","Amaranthus palmeri","DE","Amaranthus palmeri","Noxious Weeds","AMPA","L48(N)CAN(I)"
"1891","Amaranthus palmeri","Amaranthus palmeri","IA","Amaranthus palmeri","Class A Noxious Weed","AMPA","L48(N)CAN(I)"
"1892","Amaranthus palmeri","Amaranthus palmeri","IA","Amaranthus palmeri","Prohibited Invasive Plant","AMPA","L48(N)CAN(I)"
"1893","Amaranthus palmeri","Amaranthus palmeri","IN","Amaranthus palmeri","Prohibited Noxious Weeds","AMPA","L48(N)CAN(I)"
"1894","Amaranthus palmeri","Amaranthus palmeri","MD","Amaranthus palmeri","Noxious weed","AMPA","L48(N)CAN(I)"
