"","Name_submitted","Accepted_name","Family","Order","HybProp","Hyb_Ratio","perc_per","perc_wood","perc_ag","floral_symm","mating_system","repro_syndrome","pollination_syndrome","RedList","tavg","C_value","CV_C_value"
"409","Clarkia","Clarkia","Onagraceae","Myrtales",0.769230769,0.15,"0","0",0.001538462,".",".",".",".",".","0.655666667","1.849166667","40.32936589"
"410","Claytonia","Claytonia","Montiaceae","Caryophyllales",1.13960114,0.148148148,"0.553571429","0",0,".","1","1","1",".",".","2.815","31.9014427"
"411","Cleistogenes","Cleistogenes","Poaceae","Poales",0,0,"1","0",0.074314214,".",".",".",".",".",".",".","."
"412","Clematis","Clematis","Ranunculaceae","Ranunculales",0,0,"1","0.814814815",0,"0","1","0.666666667","0.8",".",".","10.66818182","22.49928382"
"413","Cleome","Cleome","Cleomaceae","Brassicales",0,0,"0","0",0.006666667,"0.875",".",".","1","0",".","0.31","."
"414","Cleomella","Cleomella","Cleomaceae","Brassicales",0,0,"0","0",0.006666667,".",".",".",".",".",".",".","."
"415","Clermontia","Clermontia","Campanulaceae","Asterales",2.164502165,0.227272727,"1","1",0,".",".",".",".","2.923076923",".",".","."
"416","Clinopodium","Clinopodium","Lamiaceae","Lamiales",0,0,"0.8","0",0.004320557,"1","1","0.6","1","0.25",".","0.44","."
"417","Clintonia","Clintonia","Liliaceae","Liliales",0,0,"1","0",0,".",".",".",".",".",".","18.85","."
"418","Clypeola","Clypeola","Brassicaceae","Brassicales",0,0,"0","0",0.00485306,".",".",".","1",".",".",".","."
"419","Cnidium","Cnidium","Apiaceae","Apiales",0,0,"0.75","0",0.003968254,".","1","1","1",".",".",".","."
"420","Cochlearia","Cochlearia","Brassicaceae","Brassicales",1.960784314,0.166666667,"0.388888889","0",0.00485306,".","1","0.8","1",".",".","0.642222222","34.37332475"
"421","Coincya","Coincya","Brassicaceae","Brassicales",0,0,"0.25","0",0.00485306,".","1","1","1",".",".",".","."
"422","Colchicum","Colchicum","Colchicaceae","Liliales",0.790513834,0.086956522,"1","0",0,".","1","0.5","1",".",".","4.713636364","53.69759852"
"423","Coleostephus","Coleostephus","Asteraceae","Asterales",0,0,"0","0",0.00210989,".",".",".","1",".",".",".","."
"424","Collinsia","Collinsia","Plantaginaceae","Lamiales",1.754385965,0.157894737,"0","0",0.005925926,".",".",".",".",".","0.592666667","3.2","31.96066919"
"425","Collomia","Collomia","Polemoniaceae","Ericales",0,0,"0.214285714","0",0,".","1","1","1",".",".","2.08","."
"426","Colobanthus","Colobanthus","Caryophyllaceae","Caryophyllales",0,0,"1","0",0.001818182,".",".",".",".",".",".","0.7","."
"427","Colubrina","Colubrina","Rhamnaceae","Rosales",0,0,"1","1",0.004444444,".",".",".","1","3",".","0.93","."
"428","Colutea","Colutea","Fabaceae","Fabales",0,0,"1","1",0.096494845,".","1","1","1",".",".","0.65","."
"429","Comesperma","Comesperma","Polygalaceae","Fabales",0,0,"1","0.428571429",0.001913876,".",".",".",".",".",".",".","."
"430","Commelina","Commelina","Commelinaceae","Commelinales",0,0,"0.4375","0",0,"1",".",".","1",".",".","7.00125","33.06139589"
"431","Commersonia","Commersonia","Malvaceae","Malvales",0,0,"1","1",0.006153846,".",".",".",".",".",".",".","."
"432","Conopodium","Conopodium","Apiaceae","Apiales",0,0,".","0",0.003968254,".","1","1","1",".",".",".","."
