"","Name_submitted","Accepted_name","Family","Order","Superorder","Group (Dicot, Monocot, Gymnosperm, Fern)","Sample reference code","Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)","Nearctic","Neotropic","Palearctic","Afrotropic","Indo-Malay","Australasia","Oceania","Number of Biogeographic Realms","Tropical and Subtropical Moist Broadleaf Forests","Tropical and Subtropical Dry Broadleaf Forests","Tropical and Subtropical Coniferous Forests","Temperate Broadleaf and Mixed Forests","Temperate Coniferous Forests","Boreal Forests/Taiga","Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands","Flooded Grasslands and Savannas","Montane Grasslands and Shrublands","Tundra","Mediterranean Forests, Woodlands, and Scrub","Deserts and Xeric Shrublands","Mangroves","Number of Biomes","C (%)","S (%)","R (%)","CSR","Colour values for SigmaPlot","Growth habit (grey shade)","Growth habit (colour)","Growth habit (symbol)"
"2686","Stellaria neglecta Weihe","Stellaria neglecta","Caryophyllaceae","Caryophyllales","Caryophyllanae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,4,18.8237062600087,0,81.1762937399913,"R/CR","@rgb(48,0,207)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2687","Stellaria nemorum L.","Stellaria nemorum","Caryophyllaceae","Caryophyllales","Caryophyllanae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,26.58509866063,4.48179645896742,68.9331048804026,"R/CR","@rgb(68,11,176)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2688","Stellaria uliginosa Murray","Stellaria uliginosa","Caryophyllaceae","Caryophyllales","Caryophyllanae","Dicot","Díaz","annual","forb",1,0,1,0,1,0,0,3,1,0,0,1,1,1,0,0,0,1,1,1,1,0,8,4.96147707498149,0,95.0385229250185,"R","@rgb(13,0,242)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2689","Stemmadenia grandiflora (Jacq.) Miers","Tabernaemontana grandiflora","Apocynaceae","Gentianales","Asteranae","Dicot","Wright","perennial","tree",0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5,43.4311930313086,3.88308905668059,52.6857179120108,"CR","@rgb(111,10,134)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"2690","Sterculia apetala (Jacq.) H. Karst.","Sterculia apetala","Malvaceae","Malvales","Rosanae","Dicot","Wright","perennial","tree",0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,5,78.7910707058883,18.335872467775,2.87305682633669,"C/CS","@rgb(201,47,7)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"2691","Stigmaphyllon lindenianum A. Juss.","Stigmaphyllon lindenianum","Malpighiaceae","Malpighiales","Rosanae","Dicot","Wright","perennial","liana",0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,59.6486070714133,0,40.3513929285867,"CR","@rgb(152,0,103)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
"2692","Stipa capillata L.","Stipa capillata","Poaceae","Poales","Lilianae","Monocot","Kleyer","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,5,11.0643826325123,88.9356173674877,0,"S","@rgb(28,227,0)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"2693","Stipa pulcherrima K. Koch","Stipa pulcherrima","Poaceae","Poales","Lilianae","Monocot","Kleyer","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,13.3161406366546,86.6838593633454,0,"S","@rgb(34,221,0)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"2694","Stipa spartea Trin.","Hesperostipa spartea","Poaceae","Poales","Lilianae","Monocot","Weiher","perennial","graminoid",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,26.4977375482262,73.5022624517738,0,"S/CS","@rgb(68,187,0)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"2695","Stizophyllum inaequilaterum Bureau & K. Schum.","Stizophyllum inaequilaterum","Bignoniaceae","Lamiales","Asteranae","Dicot","Wright","perennial","liana",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,42.5175991526462,31.3845316467763,26.0978692005775,"CSR","@rgb(108,80,67)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
