Accepted Symbol,Synonym Symbol,Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Category,Family,Duration,Growth Habit,Native Status,Characteristics Data,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit Color,Fruit Conspicuous,Growth Form,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Anaerobic Tolerance,CaCO<SUB>3</SUB> Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propogated by Bare Root,Propogated by Bulbs,Propogated by Container,Propogated by Corms,Propogated by Cuttings,Propogated by Seed,Propogated by Sod,Propogated by Sprigs,Propogated by Tubers,Seeds per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product
ABCL,,ABCL,Abrothallus cladoniae,NA (L48),,Lichen,Uncertain Ascomycota Family,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA5,,ABPA5,Abrothallus parmeliarum,NA (L48),,Lichen,Uncertain Ascomycota Family,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPE2,,ABPE2,Abrothallus peyritschii,NA (L48),,Lichen,Uncertain Ascomycota Family,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR5,,ABPR5,Abrothallus prodiens,NA (L48),,Lichen,Uncertain Ascomycota Family,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABWE,,ABWE,Abrothallus welwitschii,NA (L48),,Lichen,Uncertain Ascomycota Family,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRUS,,ABRUS,Abrus,"NA (L48, PB)","USA+(PR, VI), USA(AL, AR, FL, GA, HI, PW)",Dicot,Fabaceae,,,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR3,,ABPR3,Abrus precatorius,"NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(AL, AR, FL, GA, HI, PW)",Dicot,Fabaceae,Perennial,Vine,L48(I)HI(I)PR(I)VI(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSCO,,ABSCO,Absconditella,NA (L48),,Lichen,Stictidaceae,,,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,,ABSP,Absconditella sphagnorum,NA (L48),,Lichen,Stictidaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTR3,,ABTR3,Absconditella trivialis,NA (L48),,Lichen,Stictidaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUTI,,ABUTI,Abutilon,"NA (L48, PB)","CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)",Dicot,Malvaceae,,,"L48(I,N)CAN(I)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAB,,ABAB,Abutilon abutiloides,"NA (L48), PR, VI","USA+(PR, VI), USA(AZ, TX)",Dicot,Malvaceae,Perennial,"Subshrub, Forb/herb",L48(N)PR(N)VI(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAU,,ABAU,Abutilon auritum,HI,USA(HI),Dicot,Malvaceae,Perennial,"Subshrub, Shrub",HI(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBE,,ABBE,Abutilon berlandieri,NA (L48),USA(TX),Dicot,Malvaceae,Perennial,Shrub,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABER,,ABER,Abutilon eremitopetalum,HI,USA(HI),Dicot,Malvaceae,Perennial,Shrub,HI(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR3,,ABFR3,Abutilon fruticosum,NA (L48),"USA(AR, OK, TX)",Dicot,Malvaceae,Perennial,Subshrub,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGL,,ABGL,Abutilon glabriflorum,,,Dicot,Malvaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR3,,ABGR3,Abutilon grandifolium,"NA (GU), HI","USA(HI, UM)",Dicot,Malvaceae,Perennial,Shrub,L48(I)HI(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHI,,ABHI,Abutilon hirtum,"NA (L48), PR, VI","USA+(PR, VI), USA(FL)",Dicot,Malvaceae,Perennial,"Subshrub, Forb/herb",L48(I)PR(I)VI(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHU,,ABHU,Abutilon hulseanum,"NA (L48), PR","USA+(PR), USA(FL, LA, TX)",Dicot,Malvaceae,Perennial,"Subshrub, Forb/herb",L48(N)PR(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHY,,ABHY,Abutilon hypoleucum,NA (L48),USA(TX),Dicot,Malvaceae,Perennial,"Shrub, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN,,ABIN,Abutilon incanum,"NA (L48), HI","USA(AZ, CO, HI, NM)",Dicot,Malvaceae,Perennial,"Subshrub, Forb/herb",L48(N)HI(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN3,,ABIN3,Abutilon indicum,"NA (GU, PB), HI,PR, VI","USA+(PR, VI), USA(HI, MP, PW, UM)",Dicot,Malvaceae,Perennial,"Subshrub, Shrub",L48(I)HI(I)PR(N)VI(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABINA,,ABINA,Abutilon indicum ssp. albescens,NA (GU),"USA(MP, UM)",Dicot,Malvaceae,Perennial,Subshrub,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA3,,ABMA3,Abutilon malacum,NA (L48),"USA(AZ, NM, TX)",Dicot,Malvaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA8,,ABMA8,Abutilon mauritianum,,,Dicot,Malvaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABME3,,ABME3,Abutilon megapotamicum,,,Dicot,Malvaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABME2,,ABME2,Abutilon menziesii,HI,USA(HI),Dicot,Malvaceae,Perennial,Shrub,HI(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMO2,,ABMO2,Abutilon mollicomum,NA (L48),"USA(AZ, NM, TX)",Dicot,Malvaceae,Perennial,"Shrub, Forb/herb, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA,,ABPA,Abutilon palmeri,NA (L48),"USA(AZ, CA)",Dicot,Malvaceae,Perennial,"Shrub, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA2,,ABPA2,Abutilon parishii,NA (L48),USA(AZ),Dicot,Malvaceae,Perennial,"Shrub, Forb/herb, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA3,,ABPA3,Abutilon parvulum,NA (L48),"USA(AZ, CA, CO, NM, NV, TX, UT)",Dicot,Malvaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPE,,ABPE,Abutilon permolle,"NA (L48), PR","USA+(PR), USA(FL)",Dicot,Malvaceae,Perennial,"Subshrub, Forb/herb",L48(N)PR(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRE,,ABRE,Abutilon reventum,NA (L48),USA(AZ),Dicot,Malvaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSA2,,ABSA2,Abutilon sandwicense,HI,USA(HI),Dicot,Malvaceae,Perennial,Shrub,HI(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTH,,ABTH,Abutilon theophrasti,"NA (L48, CAN)","CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dicot,Malvaceae,Annual,Forb/herb,L48(I)CAN(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTH2,,ABTH2,Abutilon thurberi,NA (L48),USA(AZ),Dicot,Malvaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTR,,ABTR,Abutilon trisulcatum,NA (L48),USA(TX),Dicot,Malvaceae,Perennial,"Shrub, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABWR,,ABWR,Abutilon wrightii,NA (L48),"USA(NM, TX)",Dicot,Malvaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACI,,ACACI,Acacia,"NA (L48, PB)","USA(AZ, CA, FL, HI, MS, OR, PW)",Dicot,Fabaceae,,,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEM,,ACEM,Acacia ×emoryana,NA (L48),USA (TX),Dicot,Fabaceae,Perennial,"Shrub, Tree",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAB2,,ACAB2,Acacia abyssinica,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACABC2,,ACABC2,Acacia abyssinica ssp. calophylla,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC7,,ACAC7,Acacia acinacea,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC8,,ACAC8,Acacia aciphylla,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC9,,ACAC9,Acacia aculeatissima,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC10,,ACAC10,Acacia acuminata,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAD,,ACAD,Acacia adunca,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL16,,ACAL16,Acacia alata,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAM9,,ACAM9,Acacia ampliceps,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN4,,ACAN4,Acacia anegadensis,,,Dicot,Fabaceae,Perennial,Tree,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN10,,ACAN10,Acacia aneura,HI,USA(HI),Dicot,Fabaceae,Perennial,"Tree, Shrub",HI(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN,,ACAN,Acacia angustissima,NA (L48),"USA (AR, AZ, FL, KS, LA, MO, NM, OK, TX)",Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANC,,ACANC,Acacia angustissima var. chisosiana,NA (L48),USA (TX),Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANH,,ACANH,Acacia angustissima var. hirta,NA (L48),"USA (AR, AZ, FL, KS, LA, MO, NM, OK, TX)",Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANL,,ACANL,Acacia angustissima var. leucothrix,NA (L48),USA (TX),Dicot,Fabaceae,Perennial,"Forb/herb, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANS,,ACANS,Acacia angustissima var. shrevei,NA (L48),USA (AZ),Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANS2,,ACANS2,Acacia angustissima var. suffrutescens,NA (L48),"USA (AZ, NM)",Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAR12,,ACAR12,Acacia arenaria,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAU,,ACAU,Acacia auriculiformis,"NA (L48, GU, PB)","USA(FL, PW)",Dicot,Fabaceae,Perennial,"Tree, Shrub",L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBA,,ACBA,Acacia baileyana,NA (L48),USA(CA),Dicot,Fabaceae,Perennial,"Tree, Shrub",L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBE6,,ACBE6,Acacia beckleri,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBE,,ACBE,Acacia berlandieri,NA (L48),USA (TX),Dicot,Fabaceae,Perennial,"Tree, Shrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBI5,,ACBI5,Acacia binervata,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBO4,,ACBO4,Acacia boomanii,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBR3,,ACBR3,Acacia brachybotrya,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBU3,,ACBU3,Acacia buxifolia,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA23,,ACCA23,Acacia caesiella,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA24,,ACCA24,Acacia calamifolia,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA25,,ACCA25,Acacia cambagei,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA27,,ACCA27,Acacia cardiophylla,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA21,,ACCA21,Acacia catechu,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA35,,ACCA35,Acacia caven,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCH8,,ACCH8,Acacia chinchillensis,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCH,,ACCH,Acacia choriophylla,NA (L48),USA (FL),Dicot,Fabaceae,Perennial,"Tree, Shrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCI6,,ACCI6,Acacia cibaria,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO15,,ACCO15,Acacia cognata,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO16,,ACCO16,Acacia colletioides,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO24,,ACCO24,Acacia collinsii,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO,,ACCO,Acacia confusa,"NA (GU, PB), HI","USA(HI, PW)",Dicot,Fabaceae,Perennial,Tree,L48(I)HI(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO17,,ACCO17,Acacia conspersa,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO2,,ACCO2,Acacia constricta,NA (L48),"USA (AZ, MD, NM, TX, VA)",Dicot,Fabaceae,Perennial,"Tree, Shrub",L48(N),No,Spring and Summer,,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Fine,Brown,Yes,Multiple Stem,Slow,6,9,No,No,Moderate,No,Low,Yes,Erect,Slight,Yes,Yes,No,None,High,No,High,Low,High,250,High,Low,7,8.5,300,700,4,20,12,Medium,Intolerant,-13,Late Spring,Field Collections Only,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,23811,Moderate,High,No,None,No,No,No,,No,No,No,Low,,Yes,No,Medium,No,No
ACCOC,,ACCOC,Acacia constricta var. constricta,NA (L48),"USA (AZ, MD, NM, TX, VA)",Dicot,Fabaceae,Perennial,"Tree, Shrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOP9,,ACCOP9,Acacia constricta var. paucispina,NA (L48),"USA (AZ, NM, TX)",Dicot,Fabaceae,Perennial,"Tree, Shrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO18,,ACCO18,Acacia continua,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
