Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Abutilon indicum,invasive,",3,4,6,2,5,8,",",34,41,40,62,36,60,38,42,29,50,35,26,23,27,25,80,43,84,83,",",AFG,AND,ASS,BAN,CBD,CRL,CHC,CHS,EHM,GIL,CHH,HBI,IND,KZN,LDV,LAO,LSI,MLY,MDV,MRN,MAU,MYA,NNS,NRU,NEP,NCB,NTA,OGA,OMA,PAK,PAL,PHI,QLD,ROD,REU,SCS,SRL,SUL,TAI,THA,VIE,WAU,ANG,COM,MDG,GGI,SEY,,UGA,CHN,CPI,JAW,BOR,SAU,YEM,XMS,NWC,NUE,NWG,SAM,VAN,BZN,PER,",",,AFG-OO,AND-AN,ANG-OO,ASS-AS,BAN-OO,BOR-SB,BZN-AM,CBD-OO,CHC-GZ,CHC-SC,CHC-YN,CHH-OO,CHN-TJ,CHS-FJ,CHS-GD,CHS-GX,CHS-HK,CHS-JS,CHS-JX,COM-OO,CPI-CO,CRL-OO,EHM-BH,GGI-OO,GIL-OO,HBI-OO,IND-PU,JAW-OO,KZN-OO,LAO-OO,LDV-OO,LSI-LS,MAU-OO,MDG-OO,MDV-OO,MLY-PM,MRN-OO,MYA-OO,NCB-OO,NEP-OO,NNS-OO,NRU-OO,NTA-OO,NUE-OO,NWC-OO,NWG-PN,OGA-OO,OMA-OO,PAK-OO,PAL-OO,PER-OO,PHI-OO,QLD-QU,REU-OO,ROD-OO,SAM-OO,SAU-OO,SCS-OO,SEY-OO,SRL-OO,SUL-OO,TAI-OO,THA-OO,UGA-OO,VAN-OO,VIE-OO,WAU-WA,XMS-OO,YEM-OO,",",5,8,6,3,2,4,",",50,85,60,83,81,38,29,62,26,21,61,63,42,",",VIC,CLN,TOK,CLM,CUB,JAP,MDG,MRN,MOZ,MAU,MDR,SCI,SEY,HAW,LEE,REU,ROD,CGS,MLY,FIJ,,LIN,",",VIC-OO,CLN-AN,TOK-MA,CLM-OO,CUB-OO,MDG-OO,MRN-NM,MOZ-OO,MAU-OO,MDR-OO,SCI-OO,SEY-OO,HAW-HI,LEE-BV,REU-OO,ROD-OO,,CGS-OO,FIJ-OO,HAW-OO,LIN-KI,MLY-SI,MRN-GU,",",2,4,8,6,",",29,42,81,63,60,61,62,",",CGS,MLY,CUB,HAW,FIJ,,MRN,LIN,",",,CGS-OO,CUB-OO,FIJ-OO,HAW-OO,LIN-KI,MLY-SI,MRN-GU,"
Abutilon indicum subsp. albescens,established,",3,5,4,",",38,50,42,",",NNS,NTA,QLD,SUL,",",,NNS-OO,NTA-OO,QLD-QU,SUL-OO,",",3,",",38,",",JAP,",,,,,
Abutilon pannosum,established,",3,2,4,",",34,20,26,22,23,21,24,35,40,25,",",AFG,ALG,ANG,BKN,CMN,CVI,CHA,DJI,EGY,ERI,ETH,GST,IND,IRN,IRQ,KEN,LBS,MLI,MTN,NGR,NGA,OMA,PAK,PAL,SAU,SEN,SIN,SOC,SOM,SRL,SUD,TAN,UGA,YEM,",",,AFG-OO,ALG-OO,ANG-OO,BKN-OO,CHA-OO,CMN-OO,CVI-OO,DJI-OO,EGY-OO,ERI-OO,ETH-OO,GST-OO,IND-OO,IRN-OO,IRQ-OO,KEN-OO,LBS-OO,MLI-OO,MTN-OO,NGA-OO,NGR-OO,OMA-OO,PAK-OO,PAL-OO,SAU-OO,SEN-OO,SIN-OO,SOC-OO,SOM-OO,SRL-OO,SUD-OO,TAN-OO,UGA-OO,YEM-OO,",",3,2,",",35,29,",",GST,SEY,ROD,",",GST-QA,SEY-OO,ROD-OO,",,,,
Abutilon permolle,established,",8,7,",",81,80,78,79,",",BAH,BLZ,CAY,CUB,FLA,GUA,HAI,HON,JAM,MXT,PUE,TCI,",",,BAH-OO,BLZ-OO,CAY-OO,CUB-OO,FLA-OO,GUA-OO,HAI-HA,HON-OO,JAM-OO,MXT-OO,PUE-OO,TCI-OO,",",2,",",21,",",MDR,",",MDR-OO,",,,,
Abutilon sonneratianum,established,",2,",",27,26,",",CPP,OFS,NAT,LES,MOZ,TVL,SWZ,ZIM,",",,CPP-OO,LES-OO,MOZ-OO,OFS-OO,NAT-OO,SWZ-OO,TVL-OO,ZIM-OO,",",2,",",21,",",MDR,",",MDR-OO,",,,,
Abutilon theophrasti,invasive,",3,",",36,32,37,38,",",CHN,CHC,CHS,CHI,KAZ,KGZ,CHM,,MON,TZK,TAI,TKM,UZB,CHX,CHH,",",,CHC-GZ,CHC-HU,CHC-SC,CHC-YN,CHH-OO,CHI-NX,CHM-HJ,CHM-JL,CHM-LN,CHN-GS,CHN-HB,CHN-SA,CHN-SD,CHS-AH,CHS-FJ,CHS-GD,CHS-GX,CHS-HE,CHS-HN,CHS-JS,CHS-JX,CHS-SH,CHX-OO,KAZ-OO,KGZ-OO,MON-OO,TAI-OO,TKM-OO,TZK-OO,UZB-OO,",",1,5,8,7,3,2,6,",",13,50,81,71,72,85,36,11,12,34,38,20,14,79,62,10,51,31,78,76,73,75,74,77,27,21,70,61,",",ALB,NSW,NTA,QLD,SOA,VIC,WAU,BUL,BER,ABT,BRC,MAN,NBR,NSC,ONT,PEI,QUE,SAS,CLS,CHN,CHM,CHS,CHC,CHH,CHI,CHQ,CHX,CZE,BAL,SPA,COR,FRA,PAL,JAP,KOR,MOR,UKR,MXE,MXS,MXN,MRN,NET,NOR,POL,POR,KHA,YUG,TUN,TAI,ALA,ARK,ARI,CAL,COL,CNT,WDC,DEL,FLA,GEO,IOW,IDA,ILL,INI,KAN,KTY,LOU,MAS,MRY,MAI,MIC,MIN,MSO,MSI,MNT,NCA,NDA,NEB,NWH,NWJ,NWM,NEV,NWY,OHI,OKL,ORE,PEN,RHO,SCA,SDA,TEN,TEX,UTA,VRG,VER,WAS,WIS,WVA,WYO,NAT,TVL,AUT,AZO,NZN,NZS,JAP,TUR,HUN,ITA,SWI,,ASK,LBS,",",ALB-OO,NSW-NS,NTA-OO,QLD-QU,SOA-OO,VIC-OO,WAU-WA,BUL-OO,BER-OO,ABT-OO,BRC-OO,MAN-OO,NBR-OO,NSC-OO,ONT-OO,PEI-OO,QUE-OO,SAS-OO,CLS-MG,CHN-BJ,CHN-TJ,CHN-HB,CHN-SX,CHM-LN,CHM-JL,CHM-HJ,CHS-SH,CHS-JS,CHS-AH,CHS-FJ,CHS-JX,CHN-SD,CHS-HE,CHC-HU,CHS-HN,CHS-GD,CHS-GX,CHH-OO,CHC-CQ,CHC-SC,CHC-GZ,CHC-YN,CHI-NM,CHN-SA,CHN-GS,CHQ-OO,CHI-NX,CHS-HK,CHS-MA,CHX-OO,CZE-CZ,BAL-OO,SPA-SP,COR-OO,FRA-FR,PAL-IS,KOR-SK,MOR-MO,UKR-MO,MXE-CU,MXS-JA,MXN-SO,MRN-NM,NET-OO,NOR-OO,POL-OO,KOR-NK,POR-OO,KHA-OO,CZE-SK,YUG-SL,TUN-OO,TAI-OO,UKR-UK,ALA-OO,ARK-OO,ARI-OO,CAL-OO,COL-OO,CNT-OO,WDC-OO,DEL-OO,FLA-OO,GEO-OO,IOW-OO,IDA-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,LOU-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MIN-OO,MSO-OO,MSI-OO,MNT-OO,NCA-OO,NDA-OO,NEB-OO,NWH-OO,NWJ-OO,NWM-OO,NEV-OO,NWY-OO,OHI-OO,OKL-OO,ORE-OO,PEN-OO,RHO-OO,SCA-OO,SDA-OO,TEN-OO,TEX-OO,UTA-OO,VRG-OO,VER-OO,WAS-OO,WIS-OO,WVA-OO,WYO-OO,NAT-OO,TVL-MP,AUT-AU,AZO-OO,NZN-OO,NZS-OO,,ASK-OO,HUN-OO,ITA-OO,JAP-HN,JAP-KY,JAP-SH,LBS-LB,MOR-OO,SWI-OO,TUR-OO,YUG-BH,YUG-CR,",",2,3,1,8,7,5,6,",",20,38,34,13,11,81,71,72,79,70,73,78,74,75,77,76,50,61,51,36,12,",",MOR,JAP,KOR,TUR,YUG,BUL,HUN,ITA,SWI,BER,BRC,NBR,ONT,QUE,,ASK,COL,WDC,ILL,INI,IOW,KTY,MIN,OHI,OKL,PEN,RHO,SCA,SDA,TEN,TEX,UTA,VER,WAS,WVA,WIS,WYO,CZE,LBS,POR,",",,ASK-OO,BER-OO,BRC-OO,BUL-OO,COL-OO,CZE-CZ,HUN-OO,ILL-OO,INI-OO,IOW-OO,ITA-OO,JAP-HN,JAP-KY,JAP-SH,KOR-SK,KTY-OO,LBS-LB,MIN-OO,MOR-OO,NBR-OO,OHI-OO,OKL-OO,ONT-OO,PEN-OO,POR-OO,QUE-OO,RHO-OO,SCA-OO,SDA-OO,SWI-OO,TEN-OO,TEX-OO,TUR-OO,UTA-OO,VER-OO,WAS-OO,WDC-OO,WIS-OO,WVA-OO,WYO-OO,YUG-BH,YUG-CR,"
Abutilon viscosum,established,",8,7,",",85,81,83,80,79,77,82,",",AGW,ARU,BAH,BOL,CAY,CLM,COS,CUB,DOM,ECU,GAL,HAI,HON,JAM,LEE,MXC,MXG,MXE,MXN,MXT,MXS,NLA,NIC,PAN,PAR,PER,PUE,TEX,TRT,TCI,VEN,VNA,WIN,",",,AGW-OO,ARU-OO,BAH-OO,BOL-OO,CAY-OO,CLM-OO,COS-OO,CUB-OO,DOM-OO,ECU-OO,GAL-OO,HAI-HA,HON-OO,JAM-OO,LEE-OO,MXC-OO,MXE-OO,MXG-OO,MXN-OO,MXS-OO,MXT-OO,NIC-OO,NLA-OO,PAN-OO,PAR-OO,PER-OO,PUE-OO,TCI-OO,TEX-OO,TRT-OO,VEN-OO,VNA-OO,WIN-OO,",",6,",",63,",",HAW,",",HAW-HI,",,,,
Acacia acuminata,established,",5,",",50,",",WAU,",",,WAU-WA,",",5,",",50,",",VIC,",",VIC-OO,",,,,
Acacia aneura,established,",5,",",50,",",NSW,NTA,QLD,SOA,WAU,",",,NSW-NS,NTA-OO,QLD-QU,SOA-OO,WAU-WA,",",6,",",63,",",HAW,",",HAW-HI,",,,,
Acacia aulacocarpa,established,",4,5,",",43,50,",",NWG,NSW,QLD,",",,NSW-NS,NWG-OO,QLD-QU,",",6,4,",",61,42,",",COO,PHI,",",COO-OO,PHI-OO,",,,,
Acacia auriculiformis,invasive,",4,5,",",42,43,50,41,",",MOL,NWG,NTA,QLD,,",",,MOL-OO,NTA-OO,NWG-IJ,NWG-PN,QLD-QU,",",5,2,8,6,4,7,3,",",50,22,84,23,61,83,81,62,42,40,41,29,60,25,78,63,35,43,",",WAU,BEN,BZN,BZE,BZL,ZAI,COO,CLM,CUB,GHA,MRN,IND,ASS,LAO,MDG,MLY,PHI,PUE,SEN,THA,TON,TAN,FLA,HAW,YEM,BAN,COM,BOR,BAH,CRL,MRS,SOL,,SIE,",",WAU-WA,BEN-OO,BZN-AM,BZE-BA,BZL-ES,BZL-RJ,ZAI-OO,COO-OO,CLM-OO,CUB-OO,GHA-OO,MRN-GU,IND-AP,ASS-AS,IND-BI,IND-HA,IND-KT,IND-KE,IND-MR,IND-MP,IND-OR,IND-TN,ASS-TR,IND-UP,IND-WB,LAO-OO,MDG-OO,MLY-PM,PHI-OO,PUE-OO,SEN-OO,MLY-SI,THA-OO,TON-OO,TAN-OO,FLA-OO,HAW-HI,BAN-OO,,BAH-OO,BOR-SB,COM-MA,CRL-MF,CRL-PA,MRN-NM,MRS-OO,SIE-OO,SOL-OO,",",2,4,8,7,6,",",29,40,42,81,78,61,62,43,84,22,25,",",COM,BAN,BOR,MLY,BAH,FLA,COO,CRL,MRN,MRS,SOL,,MDG,SIE,TAN,",",,BAH-OO,BAN-OO,BOR-SB,COM-MA,COO-OO,CRL-MF,CRL-PA,FLA-OO,MDG-OO,MLY-SI,MRN-GU,MRN-NM,MRS-OO,SIE-OO,SOL-OO,TAN-OO,"
Acacia baileyana,invasive,",5,",",50,",",NSW,",",,NSW-NS,",",5,1,2,7,",",50,12,27,79,51,21,76,",",NSW,QLD,SOA,TAS,VIC,WAU,SPA,COR,LES,MXS,MDR,POR,SWZ,CAL,CPP,OFS,TVL,NAT,NZN,NZS,",",NSW-NS,QLD-QU,SOA-OO,TAS-OO,VIC-OO,WAU-WA,SPA-SP,COR-OO,LES-OO,MXS-OA,MDR-OO,POR-OO,SWZ-OO,CAL-OO,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,NZN-OO,NZS-OO,",",7,",,,
Acacia calcicola,established,",5,",",50,",",NSW,NTA,QLD,SOA,WAU,",",,NSW-NS,NTA-OO,QLD-QU,SOA-OO,WAU-WA,",",3,",",35,",",YEM,",,,,,
Acacia cardiophylla,established,",5,",",50,",",NSW,",",,NSW-NS,",",5,",",50,",",NSW,VIC,",",NSW-NS,VIC-OO,",,,,
Acacia colei,invasive,",5,",",50,",",NTA,QLD,WAU,",",,NTA-OO,QLD-QU,WAU-WA,",",2,",",25,",",KEN,TAN,",",KEN-OO,TAN-OO,,",",2,",",25,",",KEN,TAN,",",,KEN-OO,TAN-OO,"
Acacia confusa,invasive,",4,3,",",42,38,",",BOR,MLY,PHI,SUM,TAI,",",,BOR-OO,MLY-OO,PHI-OO,SUM-OO,TAI-OO,",",6,3,2,4,",",62,38,29,41,63,",",MRN,JAP,MAU,SEY,THA,HAW,,JAP,",",MRN-GU,MRN-NM,MAU-OO,SEY-OO,THA-OO,HAW-HI,,HAW-OO,JAP-OO,",",6,4,3,",",63,41,38,",",HAW,,JAP,",",,HAW-OO,JAP-OO,"
Acacia crassicarpa,invasive,",4,5,",",43,50,",",NWG,QLD,",",,NWG-IJ,QLD-QU,",",6,2,",",61,29,",",COO,MDG,",",COO-OO,MDG-OO,,",",6,2,",",61,29,",",COO,MDG,",",,COO-OO,MDG-OO,"
Acacia cultriformis,established,",5,",",50,",",NSW,QLD,",",,NSW-NS,QLD-QU,",",5,7,2,8,",",50,76,27,83,",",NSW,VIC,CAL,CPP,BOL,",",NSW-NS,VIC-OO,CAL-OO,CPP-WC,BOL-OO,",,,,
Acacia cyclops,invasive,",5,",",50,",",SOA,WAU,,",",,SOA-OO,WAU-WA,",",5,2,1,3,7,",",50,21,12,34,20,27,28,76,35,",",VIC,CNY,SPA,PAL,MOR,NAM,POR,STH,ARI,CAL,YEM,CPP,TVL,AZO,,",",VIC-OO,CNY-OO,SPA-SP,PAL-IS,MOR-MO,NAM-OO,POR-OO,STH-OO,ARI-OO,CAL-OO,CPP-EC,TVL-GA,CPP-NC,CPP-WC,AZO-OO,,",",2,7,3,1,",",27,76,21,34,12,,",",,CAL,CNY,PAL,POR,",",,CAL-OO,CNY-OO,PAL-IS,POR-OO,"
Acacia dealbata,invasive,",5,",",50,",",NSW,TAS,VIC,,",",,NSW-NS,TAS-OO,VIC-OO,",",2,5,8,3,1,4,7,",",26,50,85,36,83,21,12,41,40,13,38,27,29,51,20,76,73,82,",",ANG,SOA,WAU,CLC,JNF,CLS,CHS,CHC,CLM,CNY,SPA,COR,FRA,AND,IND,WHM,ITA,SAR,JAP,LES,MDG,MOZ,NFK,MDR,POR,SWZ,TUN,TAI,URU,CAL,ORE,VEN,CPP,OFS,TVL,NAT,ZIM,REU,AZO,BOL,NZN,NZS,,SRL,",",ANG-OO,SOA-OO,WAU-WA,CLC-BI,CLC-MA,CLC-LA,CLC-VA,JNF-OO,CLC-SA,CLS-LL,CHS-ZJ,CHS-FJ,CHS-GD,CHS-GX,CHC-SC,CHC-GZ,CHC-YN,CHS-HK,CLM-OO,CNY-OO,SPA-SP,COR-OO,FRA-FR,IND-GO,WHM-HP,IND-KE,IND-TN,WHM-UT,ITA-IT,SAR-OO,LES-OO,MDG-OO,MOZ-OO,NFK-NI,MDR-OO,POR-OO,SWZ-OO,TUN-OO,TAI-OO,URU-OO,CAL-OO,ORE-OO,VEN-OO,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,ZIM-OO,REU-OO,AZO-OO,BOL-OO,NZN-OO,NZS-OO,,FRA-OO,IND-OO,ITA-OO,SPA-OO,SRL-OO,",",2,4,1,5,8,7,",",27,40,12,51,85,13,29,",",,IND,SRL,FRA,POR,ITA,LES,MDG,SPA,",",,FRA-OO,IND-OO,ITA-OO,LES-OO,MDG-OO,POR-OO,SPA-OO,SRL-OO,"
Acacia decurrens,invasive,",5,",",50,",",NSW,,",",,NSW-NS,",",2,5,8,1,4,7,6,3,",",26,50,83,12,29,51,42,27,76,24,41,63,36,",",ANG,NSW,QLD,SOA,TAS,VIC,WAU,CLM,SPA,MDG,PHI,POR,SWZ,CAL,CPP,OFS,TVL,NAT,ZIM,ECU,NZN,NZS,ETH,,HAW,",",ANG-OO,NSW-NS,QLD-QU,SOA-OO,TAS-OO,VIC-OO,WAU-WA,CLM-OO,SPA-SP,MDG-OO,PHI-OO,POR-OO,SWZ-OO,CAL-OO,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,ZIM-OO,ECU-OO,NZN-OO,NZS-OO,,ETH-OO,HAW-OO,NSW-OO,QLD-OO,WAU-OO,",",2,4,6,5,8,3,",",24,27,26,41,63,50,51,83,36,",",ETH,,ZIM,HAW,NSW,QLD,SOA,VIC,WAU,CLM,",",,CLM-OO,ETH-OO,HAW-OO,NSW-OO,QLD-OO,SOA-OO,VIC-OO,WAU-OO,ZIM-OO,"
Acacia dodonaeifolia,established,",5,",",50,",",SOA,",",,SOA-OO,",",2,",",20,",",TUN,",",TUN-OO,",,,,
Acacia elata,invasive,",5,",",50,",",NSW,",",,NSW-NS,",",5,2,7,",",50,51,27,76,26,",",VIC,WAU,SWZ,CAL,CPP,TVL,NAT,ZIM,NZN,NZS,",",VIC-OO,WAU-WA,SWZ-OO,CAL-OO,CPP-EC,TVL-GA,NAT-OO,TVL-MP,CPP-WC,ZIM-OO,NZN-OO,NZS-OO,,",",2,",",27,",",SWZ,",",,SWZ-OO,"
Acacia elongata,established,",5,",",50,",",NSW,",",,NSW-NS,",",5,",",50,",",VIC,",",VIC-OO,",,,,
Acacia extensa,established,",5,",",50,",",WAU,",",,WAU-WA,",",5,",",50,",",VIC,",",VIC-OO,",,,,
Acacia fimbriata,established,",5,",",50,",",NSW,QLD,",",,NSW-NS,QLD-QU,",",5,2,",",50,22,27,",",SOA,VIC,IVO,CPP,",",SOA-OO,VIC-OO,IVO-OO,CPP-EC,",,,,
Acacia floribunda,established,",5,",",50,",",NSW,QLD,VIC,",",,NSW-NS,QLD-QU,VIC-OO,",",5,8,",",50,51,83,",",SOA,TAS,WAU,BOL,NZN,",",SOA-OO,TAS-OO,WAU-WA,BOL-OO,NZN-OO,",,,,
Acacia heterophylla,established,",2,",",29,",",MAU,REU,",",,MAU-OO,REU-OO,",",2,",",29,",",MDG,",",MDG-OO,",,,,
Acacia holosericea,established,",5,",",50,",",NTA,QLD,WAU,",",,NTA-OO,QLD-QU,WAU-WA,",",2,8,4,",",22,84,42,",",BKN,BZE,BZL,PHI,",",BKN-OO,BZE-BA,BZL-ES,PHI-OO,",,,,
Acacia howittii,established,",5,",",50,",",VIC,",",,VIC-OO,",",5,",",50,",",TAS,",",TAS-OO,",,,,
Acacia implexa,established,",5,",",50,",",NSW,QLD,TAS,VIC,",",,NSW-NS,QLD-QU,TAS-OO,VIC-OO,",",2,",",27,",",CPP,",",CPP-WC,",,,,
Acacia iteaphylla,established,",5,",",50,",",SOA,",",,SOA-OO,",",5,",",50,",",NSW,VIC,WAU,",",NSW-NS,VIC-OO,WAU-WA,",,,,
Acacia ligulata,established,",5,",",50,",",NTA,QLD,SOA,VIC,WAU,",",,NTA-OO,QLD-QU,SOA-OO,VIC-OO,WAU-WA,",",3,",",34,",",CYP,",",CYP-OO,",,,,
Acacia longifolia,invasive,",5,",",50,",",NSW,VIC,,SOA,",",,NSW-NS,SOA-OO,VIC-OO,",",8,5,1,2,7,3,3,",",85,50,84,12,13,27,51,21,28,76,83,38,",",AGE,SOA,WAU,BZC,BZE,BZS,SPA,FRA,ITA,LES,MDR,POR,ASC,STH,SWZ,URU,CAL,CPP,TVL,NAT,TUR,AZO,BOL,NZN,NZS,,JAP,",",AGE-BA,SOA-OO,WAU-WA,BZC-DF,BZE-PB,BZS-PR,BZS-RS,BZS-SC,SPA-SP,FRA-FR,ITA-IT,LES-OO,MDR-OO,POR-OO,ASC-OO,STH-OO,SWZ-OO,URU-OO,CAL-OO,CPP-EC,TVL-GA,NAT-OO,TVL-NP,TVL-MP,CPP-NC,CPP-WC,AZO-OO,BOL-OO,NZN-OO,NZS-OO,,JAP-OO,SPA-OO,WAU-OO,",",2,1,5,8,3,7,",",27,12,50,51,85,84,38,",",,POR,SPA,WAU,JAP,",",,JAP-OO,POR-OO,SPA-OO,WAU-OO,"
Acacia mangium,invasive,",4,5,",",42,43,50,41,",",MOL,NWG,QLD,,",",,MOL-OO,NWG-IJ,NWG-PN,QLD-QU,",",5,8,6,2,4,",",50,80,84,61,60,83,81,23,22,82,62,41,29,42,63,25,40,",",NTA,BLZ,BZN,BZE,BZL,BZS,COO,TOK,CLM,CUB,DOM,GAB,GHA,FRG,MRN,LAO,MDG,PHI,PUE,MLY,THA,HAW,COM,TAN,BAN,BOR,SAM,WAU,CRL,,GUY,SIE,SUR,",",NTA-OO,BLZ-OO,BZN-AM,BZN-AP,BZE-BA,BZL-ES,BZE-MA,BZE-PE,BZE-PI,BZL-RJ,BZN-RM,BZS-SC,COO-OO,TOK-MA,CLM-OO,CUB-OO,DOM-OO,GAB-OO,GHA-OO,FRG-OO,MRN-GU,LAO-OO,MDG-OO,PHI-OO,PUE-OO,MLY-SI,THA-OO,HAW-HI,,BAN-OO,BOR-SB,COM-MA,CRL-MF,CRL-PA,GUY-OO,HAW-OO,MRN-NM,SAM-AS,SIE-OO,SUR-OO,TAN-OO,WAU-OO,",",2,4,8,6,5,",",29,25,40,42,81,63,60,50,61,62,84,82,41,22,",",COM,TAN,BAN,MLY,BOR,DOM,HAW,SAM,NTA,WAU,COO,CRL,MRN,,BZN,BZE,FRG,GUY,MDG,SIE,SUR,",",,BAN-OO,BOR-SB,BZE-MA,BZN-AP,BZN-RM,COM-MA,COO-OO,CRL-MF,CRL-PA,DOM-OO,FRG-OO,GUY-OO,HAW-OO,MDG-OO,MLY-SI,MRN-NM,NTA-OO,SAM-AS,SIE-OO,SUR-OO,TAN-OO,WAU-OO,"
Acacia mearnsii,invasive,",5,",",50,",",NSW,SOA,TAS,VIC,,",",,NSW-NS,SOA-OO,TAS-OO,VIC-OO,",",5,2,8,3,1,4,7,6,3,",",50,23,84,36,21,12,24,40,25,29,26,51,42,28,27,38,85,76,63,34,83,22,81,61,60,62,79,41,78,77,20,13,",",WAU,BUR,BZE,BZS,BZL,CHS,CHC,ZAI,CVI,SPA,ETH,IND,SAR,KEN,MDG,MOZ,PHI,MDR,POR,RWA,STH,SWZ,TAI,TAN,UGA,URU,CAL,HAW,CPP,OFS,TVL,NAT,ZIM,TUR,REU,ECU,BOL,NZN,NZS,ANG,NSW,NTA,QLD,BKN,BAH,BZC,BZN,CKI,CHH,COO,XMS,FIJ,GHA,MRN,EHM,ASS,WHM,JAP,MXI,NWC,PUE,MLY,THA,TON,ARI,FLA,TEX,ALG,MLW,NAM,SEY,,CNY,FRA,ITA,JAP,ZAM,",",WAU-WA,BUR-OO,BZE-PB,BZS-PR,BZS-RS,BZS-SC,BZL-SP,CHS-ZJ,CHS-FJ,CHS-GD,CHS-GX,CHC-SC,CHC-YN,ZAI-OO,CVI-OO,SPA-SP,ETH-OO,IND-GU,IND-KT,IND-KE,IND-MR,IND-TN,SAR-OO,KEN-OO,MDG-OO,MOZ-OO,PHI-OO,MDR-OO,POR-OO,RWA-OO,STH-OO,SWZ-OO,TAI-OO,TAN-OO,UGA-OO,URU-OO,CAL-OO,HAW-HI,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,ZIM-OO,REU-OO,ECU-OO,BOL-OO,NZN-OO,NZS-OO,ANG-OO,NSW-NS,NTA-OO,QLD-QU,BKN-OO,BAH-OO,BZE-AL,BZE-BA,BZC-DF,BZL-ES,BZC-GO,BZL-MG,BZC-MS,BZC-MT,BZN-PA,BZE-PE,BZL-RJ,BZE-SE,CKI-OO,CHH-OO,CHS-HK,COO-OO,XMS-OO,FIJ-OO,GHA-OO,MRN-GU,IND-AP,EHM-AP,ASS-AS,IND-BI,IND-CH,IND-CT,IND-DE,IND-GO,IND-HA,WHM-HP,WHM-JK,IND-JK,ASS-MA,IND-MP,ASS-ME,ASS-MI,ASS-NA,IND-OR,IND-PO,IND-PU,IND-RA,EHM-SI,ASS-TR,WHM-UT,IND-UP,IND-WB,MXI-RG,MRN-NM,NWC-OO,PUE-OO,MLY-SI,THA-OO,TON-OO,ARI-OO,FLA-OO,TEX-OO,,ALG-OO,CNY-OO,FRA-OO,HAW-OO,ITA-OO,JAP-OO,MLW-OO,SEY-OO,ZAM-OO,NAM-OO,",",2,3,4,1,7,6,5,8,",",20,23,27,24,25,26,29,36,40,12,21,76,63,51,84,85,41,13,38,,",",ALG,BUR,SWZ,ETH,KEN,MLW,NAM,RWA,SEY,,TAN,UGA,ZIM,CHC,IND,EHM,ASS,WHM,SAR,POR,MDR,CNY,CAL,HAW,BZE,BZS,FRA,ITA,JAP,MDG,ZAM,",",,ALG-OO,ASS-AS,ASS-MA,ASS-ME,ASS-MI,ASS-NA,ASS-TR,BUR-OO,BZE-PB,BZS-PR,CAL-OO,CHC-YN,CNY-OO,EHM-AP,EHM-SI,ETH-OO,FRA-OO,HAW-OO,IND-AP,IND-WB,ITA-OO,JAP-OO,KEN-OO,MDG-OO,MDR-OO,MLW-OO,POR-OO,RWA-OO,SAR-OO,SEY-OO,SWZ-OO,TAN-OO,UGA-OO,WHM-HP,WHM-JK,WHM-UT,ZAM-OO,ZIM-OO,NAM-OO,"
Acacia melanoxylon,invasive,",5,",",50,",",NSW,QLD,SOA,TAS,VIC,,",",,NSW-NS,QLD-QU,SOA-OO,TAS-OO,VIC-OO,",",2,5,8,1,4,7,6,3,",",26,50,23,85,83,20,21,12,24,10,40,25,29,79,51,28,27,76,63,,38,",",ANG,WAU,BUR,JNF,CLC,CLS,ZAI,CLM,ALG,CNY,SPA,ETH,FRA,GRB,IND,KEN,MOR,MDG,MXC,MXG,MXT,MDR,POR,RWA,STH,SWZ,TAN,CAL,HAW,CPP,OFS,TVL,NAT,ZIM,AZO,ECU,BOL,NZN,NZS,PER,,JAP,",",ANG-OO,WAU-WA,BUR-OO,JNF-OO,CLC-SA,CLC-BI,CLC-MA,CLC-LA,CLS-LL,CLC-VA,ZAI-OO,CLM-OO,ALG-OO,CNY-OO,SPA-SP,ETH-OO,FRA-FR,GRB-OO,IND-AP,IND-KE,IND-MR,IND-TN,KEN-OO,MOR-MO,MDG-OO,MXC-DF,MXC-ME,MXG-VC,MXT-YU,MDR-OO,POR-OO,RWA-OO,STH-OO,SWZ-OO,TAN-OO,CAL-OO,HAW-HI,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,CPP-WC,ZIM-OO,AZO-OO,ECU-OO,BOL-OO,NZN-OO,NZS-OO,PER-OO,,HAW-OO,IND-OO,JAP-OO,SPA-OO,",",2,1,7,6,5,8,4,3,",",25,27,26,12,,76,63,51,85,40,38,79,",",KEN,,TAN,ZIM,SPA,CAL,HAW,SWZ,IND,JAP,POR,",",,CAL-OO,HAW-OO,IND-OO,JAP-OO,KEN-OO,POR-OO,SPA-OO,SWZ-OO,TAN-OO,ZIM-OO,"
