"AcceptedName","Habit","NativeStatus","n_nurseries","StatesSold","NativeRange","StatesRegulated","P_conventional","P_native","Rank"
"Aesculus glabra","Tree","EFNative",23,"OH, MD, NY, ME, PA, MA, VT, NJ","IL, IA, KS, MN, MO, NE, OK, WI, IN, ME, MI, NH, NJ, NY, OH, PA, WV, TX, AL, AR, GA, KY, MD, MS, TN",NA,0.0703125,0.0602409638554217,1296
"Myrica gale","Shrub","EFNative",19,"MA, CT, ME, DE, PA, NH, VT","AK, OR, WA, MN, WI, CT, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, NC",NA,0.05859375,0.0481927710843374,1297
"Viola labradorica","Forb/herb","EFNative",19,"NY, ME, VT, DE, VA, NH, MA, PA, CT, NJ","CO, IL, MN, ND, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.05859375,0.0481927710843374,1298
"Amsonia illustris","Forb/herb","EFNative",15,"MD, NJ, VA, ME, PA, DE, NH, VT, MA","IA, KS, MO, NV, TX",NA,0.046875,0.036144578313253,1299
"Camassia leichtlinii","Forb/herb","EFNonNative",7,"RI, ME, PA, VA, VT","OR, WA, CA",NA,0.0234375,0.0120481927710843,1300
"Rhododendron groenlandicum","Shrub","EFNative",7,"RI, DE, ME, NH, PA, MA","AK, ID, OR, WA, MN, WI, CT, ME, MA, MI, NH, NY, PA, VT",NA,0.0234375,0.0120481927710843,1301
"Trollius laxus","Forb/herb","EFNative",7,"PA, ME, VT, NH","CO, ID, MT, WA, WY, CT, NJ, NY, OH, PA, UT, DE",NA,0.0234375,0.0120481927710843,1302
"Actaea rubifolia","Forb/herb","EFNative",3,"DE, NH, ME","IL, IN, AL, KY, TN, VA",NA,0.01171875,0,1303
"Bouvardia ternifolia","Shrub","EFNonNative",3,"MA, NY","AZ, NM, TX",NA,0.01171875,0,1304
"Camassia quamash","Forb/herb","EFNonNative",3,"ME, NY, VT","ID, MT, OR, WA, WY, CA, NV, UT",NA,0.01171875,0,1305
"Catalpa bignonioides","Tree","EFNative",3,"OH, CT","VT, TX, AL, FL, GA, LA, MS",NA,0.01171875,0,1306
"Cornus nuttallii","Tree","EFNonNative",3,"CT, VA, VT","ID, OR, WA, CA",NA,0.01171875,0,1307
"Crataegus punctata","Shrub","EFNative",3,"OH, NH","MT, IL, IA, MN, MO, WI, CT, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, KY, NC, TN, VA",NA,0.01171875,0,1308
"Eschscholzia californica","Forb/herb","EFNonNative",3,"VT, NH","OR, WA, AZ, CA, NV, UT, NM, TX",NA,0.01171875,0,1309
"Hesperocyparis macrocarpa","Tree","EFNonNative",3,"MA, DE, ME","CA",NA,0.01171875,0,1310
